prefix,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
N75T15,DD_SF,ses,infinite_f_new,fixed_intervals,4.0,83316.673,0.1296538114547729,0.6115007162094116,8.084637565741205e-06,0.06715671695816247,0.5,0.38862092366567164,0.6113790763343283,0.39348308006319693,0.606516919936803,4.0,484.6,-1.2661581504810742,0.6300968142957775,10260.0,1140.0,10275.0,
N75T15,DD_SF,owmr,infinite_f,fixed_intervals,4.0,83315.63799999999,0.007483959197998001,0.5199438810348511,5.1230388878904395e-05,0.4655859729366595,33.7,0.38862367952872867,0.6113763204712713,0.3934749994573199,0.6065250005426802,4.0,484.10000000000116,0.36888385306021876,0.6311161469397815,3496.0,1140.0,2356.0,
N75T15,DD_SF,owmr,infinite_f_new,fixed_intervals,4.0,83315.63799999996,0.007367777824401791,0.5218307256698609,5.1230388878904395e-05,0.4655859729366595,33.7,0.38862367952872867,0.6113763204712713,0.3934749994573199,0.6065250005426802,4.0,484.10000000000116,0.36888385306021876,0.6311161469397815,3496.0,1140.0,2356.0,
N100T15,DD_SF,es,fix_y,fixed_intervals,4.0,105840.16799999992,0.01785306930541988,0.6487889289855957,1.3139277140102189e-05,0.2907031621066024,2.5,0.3599603548586497,0.6400396451413506,0.302012076292605,0.6979879237073948,4.0,654.1,0.37959036630419396,0.6204096336958054,4646.0,1515.0,3157.0,
N100T15,DD_SF,es,infinite_f,fixed_intervals,4.0,105840.22099999998,0.01703104972839351,0.5876490592956543,5.3973311392878286e-05,0.2907035481150255,10.9,0.35991189518271033,0.6400881048172897,0.3020419232482588,0.6979580767517413,4.0,653.9,0.37927696088934904,0.6207230391106503,4646.0,1515.0,3146.0,
N100T15,DD_SF,es,infinite_f_new,fixed_intervals,4.0,105840.22099999999,0.017973303794860777,0.5860123872756958,5.3973311392878286e-05,0.2907035481150255,10.9,0.35991189518271033,0.6400881048172897,0.3020419232482588,0.6979580767517413,4.0,653.9,0.37927696088934904,0.6207230391106503,4646.0,1515.0,3146.0,
N100T15,DD_SF,owmr,fix_y,fixed_intervals,4.0,105841.12099999996,0.00972812175750727,0.8154547214508057,4.557258539455993e-05,0.4531338336185284,12.0,0.3596127674387584,0.6403872325612417,0.30226679317392335,0.6977332068260766,4.000000000000006,653.599999999961,0.3796948845266871,0.6203051154733128,4646.0,1515.0,3142.0,
N100T15,DD_SF,ses,fix_y,fixed_intervals,4.0,105839.87899999999,0.0719149589538574,0.7813967943191529,0.0,0.00063839937036472,0.0,0.36004847732510914,0.6399515226748912,0.30194466974089623,0.6980553302591036,4.0,654.3,-1.184670554013239,0.6205951322321105,13635.0,1515.0,13661.0,
N100T15,DD_SF,ses,infinite_f,fixed_intervals,4.0,105841.0,0.1853193998336792,1.0115272283554078,0.0,0.07531268326479706,0.0,0.35974965239427026,0.64025034760573,0.3022109307199041,0.6977890692800959,4.0,653.9,-1.1840124811876098,0.6207000770763818,13635.0,1515.0,13650.0,
N100T15,DD_SF,owmr,infinite_f,fixed_intervals,4.0,105840.73200000003,0.010255837440490669,0.6669939517974853,4.544229557237641e-05,0.4531316599824044,20.9,0.3597781873689245,0.6402218126310756,0.30213556639561856,0.6978644336043814,4.000000000000001,653.8999999999999,0.3798765598376634,0.6201234401623363,4646.0,1515.0,3131.0,
N100T15,DD_SF,owmr,infinite_f_new,fixed_intervals,4.0,105840.73199999999,0.009946441650390572,0.6700125694274902,4.544229557237641e-05,0.4531316599824044,20.9,0.3597781873689245,0.6402218126310756,0.30213556639561856,0.6978644336043814,4.000000000000001,653.8999999999999,0.3798765598376634,0.6201234401623363,4646.0,1515.0,3131.0,
N100T15,DD_SF,ses,infinite_f_new,fixed_intervals,4.0,105841.0,0.18268637657165523,1.0116122245788575,0.0,0.07531268326479706,0.0,0.35974965239427026,0.64025034760573,0.3022109307199041,0.6977890692800959,4.0,653.9,-1.1840124811876098,0.6207000770763818,13635.0,1515.0,13650.0,
N50T15,SD_SF,es,fix_y,fixed_intervals,4.0,57833.73999999997,0.00708103179931636,0.2407294511795044,2.139281720213953e-05,0.3067544223134588,8.2,0.4088114544991958,0.5911885455008045,0.43524687919943306,0.5647531208005668,3.999999999999999,327.3000000000001,0.364909468338236,0.6350905316617635,2346.0,765.0,1607.0,
N50T15,SD_SF,es,infinite_f,fixed_intervals,4.0,57833.34299999998,0.006756043434143019,0.2940359592437744,3.128310180622853e-05,0.30674948080651043,19.2,0.4089492988286497,0.5910507011713504,0.4351033500449263,0.5648966499550736,4.0,327.30000000000007,0.36488332795319794,0.6351166720468012,2346.0,765.0,1596.0,
N50T15,SD_SF,es,infinite_f_new,fixed_intervals,4.0,57833.34299999997,0.0067507982254028,0.2964775562286377,3.128310180622853e-05,0.30674948080651043,19.2,0.4089492988286497,0.5910507011713504,0.4351033500449263,0.5648966499550736,4.0,327.30000000000007,0.36488332795319794,0.6351166720468012,2346.0,765.0,1596.0,
N50T15,SD_SF,ses,fix_y,fixed_intervals,4.0,57833.33099999999,0.0380231618881225,0.26928372383117677,0.0,0.0009983844472633402,0.4,0.4090305899117423,0.590969410088258,0.4350189298756577,0.5649810701243423,4.0,327.4,-1.3322995243942117,0.6349537545504255,6885.0,765.0,6911.0,
N50T15,SD_SF,owmr,fix_y,fixed_intervals,4.0,57833.863,0.00503790378570552,0.38106181621551516,8.147768595874658e-05,0.47988760402632324,41.6,0.4089113591966568,0.5910886408033433,0.4351470910220524,0.5648529089779477,4.0,327.3000000000003,0.3650489475856278,0.6349510524143721,2346.0,765.0,1592.0,
N50T15,SD_SF,ses,infinite_f,fixed_intervals,4.0,57834.71,0.08731188774108879,0.3533742904663086,0.0,0.13896510724444014,0.6,0.40874616940747266,0.5912538305925275,0.43529552467139815,0.5647044753286019,4.0,327.3,-1.3314309093756056,0.6348517799718371,6885.0,765.0,6900.0,
N50T15,SD_SF,ses,infinite_f_new,fixed_intervals,4.0,57834.70999999998,0.08939733505249021,0.35110199451446533,0.0,0.13896510724444014,0.6,0.40874616940747266,0.5912538305925275,0.43529552467139815,0.5647044753286019,4.0,327.3,-1.3314309093756056,0.6348517799718371,6885.0,765.0,6900.0,
N50T15,SD_SF,owmr,infinite_f,fixed_intervals,4.0,57833.793000000005,0.00543994903564449,0.3482966899871826,7.597183193847394e-05,0.47988668830146314,38.9,0.40915063188476547,0.5908493681152347,0.43488828541321445,0.5651117145867856,4.0,327.29999999999984,0.36480665191707107,0.6351933480829286,2346.0,765.0,1581.0,
N50T15,SD_SF,owmr,infinite_f_new,fixed_intervals,4.0,57833.79299999999,0.005335593223571729,0.34906246662139895,7.597183193847394e-05,0.47988668830146314,38.9,0.40915063188476547,0.5908493681152347,0.43488828541321445,0.5651117145867856,4.0,327.29999999999984,0.36480665191707107,0.6351933480829286,2346.0,765.0,1581.0,
N75T15,SD_SF,es,fix_y,fixed_intervals,4.0,83155.44799999996,0.0119590044021606,0.3973905324935913,2.1634967819617535e-05,0.2961876326694658,2.0,0.3834419990049803,0.6165580009950198,0.37744143487523113,0.6225585651247688,4.0,488.7,0.3750733765035229,0.6249266234964763,3496.0,1140.0,2382.0,
N75T15,SD_SF,es,infinite_f,fixed_intervals,4.0,83155.322,0.01282160282135005,0.4350238561630249,3.8281061482199995e-05,0.29618671134050845,19.4,0.38346557587002617,0.6165344241299742,0.3774150308271901,0.6225849691728099,4.0,488.6000000000001,0.3752161595227407,0.6247838404772585,3496.0,1140.0,2371.0,
N75T15,SD_SF,es,infinite_f_new,fixed_intervals,4.0,83155.32199999991,0.01218609809875485,0.4317257165908813,3.8281061482199995e-05,0.29618671134050845,19.4,0.38346557587002617,0.6165344241299742,0.3774150308271901,0.6225849691728099,4.0,488.6000000000001,0.3752161595227407,0.6247838404772585,3496.0,1140.0,2371.0,
N75T15,SD_SF,ses,fix_y,fixed_intervals,4.0,83155.022,0.0490279674530029,0.4740349769592285,0.0,0.00093864050826476,0.0,0.3835101474834934,0.616489852516507,0.37737419842665443,0.6226258015733456,4.0,488.9,-1.2477524320030184,0.6247707570578542,10260.0,1140.0,10286.0,
N75T15,SD_SF,owmr,fix_y,fixed_intervals,4.0,83156.825,0.0074992179870605,0.5791107177734375,5.057660928611344e-05,0.4632359567000829,18.1,0.38328916595903983,0.6167108340409604,0.37757632569650673,0.6224236743034932,3.999999999999999,488.69999999999953,0.37527291932724716,0.6247270806727523,3496.0,1140.0,2367.0,
N75T15,SD_SF,ses,infinite_f,fixed_intervals,4.0,106556.426,0.12935099601745603,0.6019985675811768,0.0,0.1606694038981818,0.0,0.34562020744099553,0.6543797925590049,0.3873403415702013,0.6126596584297987,3.7,447.5,-1.2215935099126842,0.6635552124934427,10260.0,1140.0,10275.0,
N75T15,SD_SF,owmr,infinite_f,fixed_intervals,4.0,83156.443,0.007520914077758739,0.4991960048675537,6.56279054852376e-05,0.46323354053250504,22.1,0.3833914164187916,0.6166085835812087,0.3774752403316784,0.6225247596683217,4.0,488.6999999999998,0.37520277393036217,0.6247972260696372,3496.0,1140.0,2356.0,
N75T15,SD_SF,owmr,infinite_f_new,fixed_intervals,4.0,83156.44299999994,0.007924103736877389,0.5035347223281861,6.56279054852376e-05,0.46323354053250504,22.1,0.3833914164187916,0.6166085835812087,0.3774752403316784,0.6225247596683217,4.0,488.6999999999998,0.37520277393036217,0.6247972260696372,3496.0,1140.0,2356.0,
N75T15,SD_SF,ses,infinite_f_new,fixed_intervals,4.0,106556.42599999998,0.12789733409881587,0.6022644519805909,0.0,0.1606694038981818,0.0,0.34562020744099553,0.6543797925590049,0.3873403415702013,0.6126596584297987,3.7,447.5,-1.2215935099126842,0.6635552124934427,10260.0,1140.0,10275.0,
N100T15,SD_SF,es,fix_y,fixed_intervals,4.0,106865.92299999991,0.01557757854461666,0.5909959554672242,4.514067871922954e-05,0.2932877735613947,2.2,0.3672037367590352,0.6327962632409649,0.3319876006958685,0.6680123993041314,4.0,647.5,0.35664673669514546,0.6433532633048541,4646.0,1515.0,3157.0,
N100T15,SD_SF,es,infinite_f,fixed_intervals,4.0,106864.80899999998,0.015370583534240681,0.6171984910964966,5.485355253289635e-05,0.29328018862498173,22.7,0.36736230736102016,0.6326376926389798,0.33184436062418665,0.6681556393758135,4.000000000000001,647.4,0.3565598262630018,0.6434401737369979,4646.0,1515.0,3146.0,
