N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,Unnamed: 24
75,15,DD_DF,es,fix_y,fixed_intervals,3.0,74417.9929999999,0.0127643823623656,0.574383282661438,8.006472322756992e-06,0.3741466882532018,33.3,0.4775899694624677,0.5224100305375325,0.4110710873881578,0.5889289126118421,5.0,509.2000000000004,0.2702822464251475,0.729717753574852,3496.0,1140.0,2381.0,
75,15,DD_DF,es,fix_y,fixed_intervals,4.0,82552.51299999996,0.0121713876724242,0.393567156791687,2.9270155602249207e-05,0.2939767427727796,2.4,0.3801553241860285,0.6198446758139718,0.382852055029398,0.617147944970602,4.0,487.6,0.3685177793565081,0.6314822206434917,3496.0,1140.0,2382.0,
75,15,DD_DF,es,fix_y,fixed_intervals,5.0,95810.04299999982,0.0101887702941894,0.2539522171020508,3.4906267490106495e-05,0.2209166907778882,0.0,0.2791127213389065,0.7208872786610941,0.3388775402429252,0.6611224597570746,3.0,467.3,0.4789169306797837,0.5210830693202159,3496.0,1140.0,2383.0,
75,15,DD_DF,ses,fix_y,fixed_intervals,3.0,74417.99299999999,0.0507760763168334,0.5775902986526489,0.0,0.0022904057688033,2.6,0.4776188176214186,0.5223811823785817,0.4110463349155478,0.5889536650844521,5.0,509.3,-1.645031999535593,0.7296048078860098,10260.0,1140.0,10285.0,
75,15,DD_DF,ses,fix_y,fixed_intervals,4.0,82551.771,0.0514378786087035,0.4980798721313476,0.0,0.0009055348633003,0.0,0.3802458516320954,0.6197541483679048,0.3827601214269486,0.6172398785730513,4.0,487.7,-1.2453642987391853,0.6313925506229174,10260.0,1140.0,10286.0,
75,15,DD_DF,ses,fix_y,fixed_intervals,5.0,95809.27,0.0521860361099242,0.4635922908782959,8.385023120362631e-06,0.0001985518785293,0.0,0.2791781197712858,0.7208218802287145,0.3387969246585539,0.6612030753414461,3.0,467.4,-0.9089848541126304,0.5214432253225615,10260.0,1140.0,10287.0,
100,15,DD_DF,tp,fix_y,fixed_intervals,3.0,95485.79,0.1084671974182128,0.2069642066955566,0.0,1.6908197998785575e-16,0.0,0.4545210421987883,0.5454789578012116,0.3411296492090885,0.6588703507909115,5.0,681.1,0.2767762733243732,0.723223726675627,82315.0,15.0,37510.0,
100,15,DD_DF,tp,fix_y,fixed_intervals,4.0,106373.644,0.0940069675445556,0.170838713645935,0.0,9.528306467583215e-17,0.0,0.3619004218769224,0.6380995781230775,0.3141331990476388,0.685866800952361,4.0,654.7,0.3777503501842257,0.6222496498157744,82315.0,15.0,37511.0,
100,15,DD_DF,tp,fix_y,fixed_intervals,5.0,125688.73899999996,0.0930811405181884,0.1646413087844848,0.0,1.740485431598489e-16,0.0,0.2637788153780731,0.7362211846219269,0.267511275914459,0.732488724085541,3.0,630.2,0.495231250570373,0.5047687494296269,82315.0,15.0,37512.0,
100,15,DD_DF,tpc,fix_y,fixed_intervals,3.0,95485.79,0.0886223077774047,0.17007257938385,0.0,1.3713237700722148e-16,0.0,0.4545210421987883,0.5454789578012116,0.3411296492090885,0.6588703507909115,5.0,681.1,0.2767762733243732,0.7232237266756267,70195.0,15.0,25510.0,
100,15,DD_DF,tpc,fix_y,fixed_intervals,4.0,106373.644,0.0811378002166747,0.150671625137329,0.0,1.0870396744140876e-16,0.0,0.3619004218769223,0.6380995781230776,0.3141331990476388,0.685866800952361,4.0,654.7,0.3777503501842256,0.6222496498157744,70195.0,15.0,25511.0,
100,15,DD_DF,tpc,fix_y,fixed_intervals,5.0,125688.73900000002,0.0811666250228881,0.1364574909210204,0.0,1.2804289023552567e-16,0.0,0.2637788153780731,0.7362211846219268,0.267511275914459,0.732488724085541,3.0,630.2,0.4952312505703731,0.5047687494296269,70195.0,15.0,25512.0,
100,15,DD_DF,sp,fix_y,fixed_intervals,3.0,95485.79,0.128203797340393,0.3399604797363281,0.0,1.0732977530051292e-16,0.0,0.4545210421987883,0.5454789578012116,0.3411296492090885,0.6588703507909115,5.0,681.1,0.2767762733243732,0.7232237266756268,82315.0,15.0,27250.0,
100,15,DD_DF,sp,fix_y,fixed_intervals,4.0,106373.64399999996,0.1243447542190551,0.302942681312561,0.0,1.5030426699311414e-16,0.0,0.3618382903061755,0.6381617096938246,0.3141883218538183,0.6858116781461816,4.0,654.5,0.3774050673903481,0.622594932609652,82315.0,15.0,27251.0,
100,15,DD_DF,sp,fix_y,fixed_intervals,5.0,125688.73900000002,0.1149820327758788,0.2861071109771728,0.0,1.6196601432395402e-16,0.0,0.2637875708298419,0.7362124291701585,0.2675033725864866,0.7324966274135133,3.0,630.3,0.4951842538371454,0.5048157461628541,82315.0,15.0,27252.0,
100,15,DD_DF,spc,fix_y,fixed_intervals,3.0,95485.79,0.0851462125778197,0.2887786865234375,0.0,7.663736327190473e-17,0.0,0.4545210421987883,0.5454789578012116,0.3411296492090885,0.6588703507909115,5.0,681.1,0.2767762733243732,0.7232237266756266,69515.0,15.0,15010.0,
100,15,DD_DF,spc,fix_y,fixed_intervals,4.0,106373.644,0.0765007019042968,0.2449559688568115,0.0,6.85639441525449e-17,0.0,0.3619004218769224,0.6380995781230778,0.3141331990476388,0.685866800952361,4.0,654.7,0.3777503501842255,0.6222496498157744,69515.0,15.0,15011.0,
100,15,DD_DF,spc,fix_y,fixed_intervals,5.0,125688.73899999996,0.069686985015869,0.2296833038330078,0.0,1.5125414510314794e-16,0.0,0.2637955993862701,0.7362044006137298,0.2674947929336886,0.7325052070663114,3.0,630.3,0.4952700451265387,0.5047299548734616,69515.0,15.0,15012.0,
100,15,DD_DF,mc,fix_y,fixed_intervals,3.0,95485.78999999983,0.1045397043228149,0.2017852306365966,0.0,1.5567906719613629e-15,0.0,0.4545210421987891,0.545478957801212,0.3411296492090885,0.6588703507909115,5.0,681.1,0.2767762733243735,0.723223726675627,54230.0,15.0,49626.0,
100,15,DD_DF,mc,fix_y,fixed_intervals,4.0,106373.64399999984,0.0986880064010619,0.1843406438827514,0.0,1.3199491686121417e-15,0.0,0.3619004218769229,0.6380995781230784,0.3141331990476388,0.685866800952361,4.0,654.7,0.3777503501842256,0.622249649815774,54230.0,15.0,49627.0,
100,15,DD_DF,mc,fix_y,fixed_intervals,5.0,125688.7389999999,0.092010474205017,0.1739904880523681,0.0,1.1379406359534045e-15,0.0,0.2637788153780733,0.7362211846219278,0.267511275914459,0.732488724085541,3.0,630.2,0.4952312505703728,0.5047687494296265,54230.0,15.0,49628.0,
100,15,DD_DF,owmr,fix_y,fixed_intervals,3.0,95486.73500000002,0.0096024513244628,0.956342363357544,6.690159772835409e-05,0.5542981475395831,55.3,0.4545940956242956,0.545405904375704,0.341069495052357,0.6589305049476429,5.0,681.0999999999524,0.2766392615330945,0.7233607384669059,4646.0,1515.0,3141.0,
